Player,ADP,Bye,NEWS / NOTES
Jalen Hurts (PHI - BYE: 9),5,9,"In four seasons as an NFL starter, Jalen Hurts has finished QB6, ..."
Kyler Murray (ARI - BYE: 8),9,8,"No quarterback was more frustrating to roster than the Cardinals ..."
Justin Fields (NYJ - BYE: 9),15,9,
Drake Maye (NE - BYE: 14),18,14,"The Patriots QB is going to enter the top 12 QB conversation this..."
Michael Penix Jr. (ATL - BYE: 5),23,5,
Anthony Richardson Sr. (IND - BYE: 11),28,11,
Russell Wilson (NYG - BYE: 14),29,14,"Russell Wilson locks in as Giants Week 1 starter »"
Aaron Rodgers (FA),30,,"Aaron Rodgers: Steelers to wait 'a little longer' »"
Jaxson Dart (NYG - BYE: 14),31,14,"Jaxson Dart expected to sit entire rookie year 'if all goes well' »"
Tyler Shough (NO - BYE: 11),32,11,"Tyler Shough rotating with first-team in OTAs »"
Shedeur Sanders (CLE - BYE: 9),33,9,"Shedeur Sanders signs rookie contract with Browns »"
Mason Rudolph (PIT - BYE: 5),34,5,
Daniel Jones (IND - BYE: 11),35,11,
Jalen Milroe (SEA - BYE: 8),36,8,"Jalen Milroe signs rookie contract with Seahawks »"
Joe Flacco (CLE - BYE: 9),37,9,
Kirk Cousins (ATL - BYE: 5),38,5,
Aidan O'Connell (LV - BYE: 8),39,8,
Spencer Rattler (NO - BYE: 11),40,11,"Spencer Rattler steps up in Saints OTAs »"
Kenny Pickett (CLE - BYE: 9),41,9,
Will Howard (PIT - BYE: 5),42,5,
Cameron Ward (TEN - BYE: 10),27,10,"Cameron Ward signs rookie contract with Titans »"
Dak Prescott (DAL - BYE: 10),13,10,"Dak Prescott (hamstring) practices fully at OTAs »"
Tommy DeVito (NYG - BYE: 14),,14,
Desmond Ridder (FA),,,
Dillon Gabriel (CLE - BYE: 9),,,9,
Joe Milton III (DAL - BYE: 10),,,10,
Mac Jones (SF - BYE: 14),,,14,
Malik Willis (GB - BYE: 5),,,5,
Sam Howell (MIN - BYE: 6),,,6,
Gardner Minshew II (KC - BYE: 10),,,10,
Riley Leonard (IND - BYE: 11),,,11,
Kyle McCord (PHI - BYE: 9),,,9,
Trey Lance (LAC - BYE: 12),,,12,
Zach Wilson (MIA - BYE: 12),,,12,
Jacoby Brissett (ARI - BYE: 8),,,8,
Jimmy Garoppolo (LAR - BYE: 8),,,8,
Hendon Hooker (DET - BYE: 8),,,8,
Jake Browning (CIN - BYE: 10),,,10,
Cooper Rush (BAL - BYE: 7),,,7,
Andy Dalton (CAR - BYE: 14),,,14,
Drew Lock (SEA - BYE: 8),,,8,
Marcus Mariota (WAS - BYE: 12),,,12,
Tyrod Taylor (NYJ - BYE: 9),,,9,
Jarrett Stidham (DEN - BYE: 12),,,12,
Joshua Dobbs (NE - BYE: 14),,,14,
Kurtis Rourke (SF - BYE: 14),,,14,
Tyson Bagent (CHI - BYE: 5),,,5,
Dorian Thompson-Robinson (PHI - BYE: 9),,,9,
Mitchell Trubisky (BUF - BYE: 7),,,7,
Davis Mills (HOU - BYE: 6),,,6,
Nick Mullens (JAC - BYE: 8),,,8,
Jake Haener (NO - BYE: 11),,,11,"Jake Haener (oblique) will miss 'a couple of weeks' »"
Bailey Zappe (KC - BYE: 10),,,10,
Taylor Heinicke (LAC - BYE: 12),,,12,
Stetson Bennett (LAR - BYE: 8),,,8,
Kyle Trask (TB - BYE: 9),,,9,
Tanner McKee (PHI - BYE: 9),,,9,
Carson Wentz (FA),,,
Clayton Tune (ARI - BYE: 8),,,8,
Jaren Hall (FA),,,
Michael Pratt (TB - BYE: 9),,,9,
Seth Henigan (JAC - BYE: 8),,,8,
Skylar Thompson (PIT - BYE: 5),,,5,
Devin Leary (BAL - BYE: 7),,,7,
Shane Buechele (BUF - BYE: 7),,,7,
Jordan Travis (FA),,,
Case Keenum (CHI - BYE: 5),,,5,
Teddy Bridgewater (FA),,,
Trevor Siemian (FA),,,
Matt Corral (FA),,,
Collin Hill (FA),,,
Blaine Gabbert (FA),,,
Graham Mertz (HOU - BYE: 6),,,6,
Matt Barkley (FA),,,
Reid Sinnett (FA),,,
Jeff Driskel (FA),,,
